"entry","entry href","field-content","field-content 2"
"Greenhaw PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/greenhaw-ps","Carnhill, Londonderry, Co. Londonderry, BT48 8BA","Primary"
"Greenhaw PS NU","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/greenhaw-ps-nu","Carnhill Estate, Londonderry, Co Londonderry, BT48 8BA","Pre-School"
"Greenisland PS [Carrickfergus]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/greenisland-ps-carrickfergus","Upper Station Road, Greenisland, Carrickfergus, Co. Antrim, BT38 8RA","Primary"
"Greenlough Early Years PG [Portglenone]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/greenlough-early-years-pg-portglenone","St Oliver Plunkett Hall, 232 Mayogall Road, Portglenone, Co Londonderry, BT44 8NN","Pre-School"
"Greenwood Assessment Centre","https://www.eani.org.uk/parents/types-of-school/school-type/special-school/greenwood-assessment-centre","Greenwood Avenue, BELFAST, CO ANTRIM, BT4 3JJ","Special School"
"Greenwood PS [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/greenwood-ps-belfast","436 Upper Newtownards Road, Belfast, Co. Antrim, BT4 3HS","Primary"
"Greenwood PS NU [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/greenwood-ps-nu-belfast","436 Upper Newtownards Road, Belfast, Co Antrim, BT4 3HS","Pre-School"
"Greyabbey PS [Newtownards]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/greyabbey-ps-newtownards","3 The Square, Greyabbey, Newtownards, Co. Down, BT22 2QA","Primary"
"Greysteel PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/greysteel-pg","St Columba's Walk, Greysteel, Co Londonderry, BT47 3TS","Pre-School"
"Greystone PS [Antrim]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/greystone-ps-antrim","53 Greystone Road, Antrim, Co. Antrim, BT41 1JW","Primary"
"Groggan PS [Randalstown]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/groggan-ps-randalstown","179 Portglenone Road, Randalstown, Antrim, Co. Antrim, BT41 3EU","Primary"
